epochs, batch_size, lrate, decay, truefalse, final_accuracy
(5, 8, 1e-06, 2e-07, 0, 23.423423423423422)
(5, 8, 1e-06, 2e-07, 1, 12.612612800555187)
(5, 8, 1e-05, 2.0000000000000003e-06, 0, 27.927927927927925)
(5, 8, 1e-05, 2.0000000000000003e-06, 1, 27.927927927927925)
(5, 8, 0.0001, 2e-05, 0, 27.927927927927925)
(5, 8, 0.0001, 2e-05, 1, 27.927927927927925)
(5, 8, 0.001, 0.0002, 0, 39.63963963963964)
(5, 8, 0.001, 0.0002, 1, 38.73873889983238)
(5, 8, 0.01, 0.002, 0, 27.927927927927925)
(5, 8, 0.01, 0.002, 1, 27.927927927927925)
(5, 8, 0.1, 0.02, 0, 24.324324324324326)
(5, 8, 0.1, 0.02, 1, 26.126126126126124)
(5, 8, 0.5, 0.1, 0, 27.927927927927925)
(5, 8, 0.5, 0.1, 1, 24.324324324324326)
(5, 8, 1.0, 0.2, 0, 26.126126126126124)
(5, 8, 1.0, 0.2, 1, 27.927927927927925)
(5, 8, 5.0, 1.0, 0, 24.324324324324326)
(5, 8, 5.0, 1.0, 1, 27.927927927927925)
(5, 8, 10.0, 2.0, 0, 21.62162162162162)
(5, 8, 10.0, 2.0, 1, 21.62162162162162)
(5, 8, 100.0, 20.0, 0, 27.927927927927925)
(5, 8, 100.0, 20.0, 1, 26.126126126126124)
(5, 16, 1e-06, 2e-07, 0, 27.927927927927925)
(5, 16, 1e-06, 2e-07, 1, 18.918919012890207)
(5, 16, 1e-05, 2.0000000000000003e-06, 0, 27.927927927927925)
(5, 16, 1e-05, 2.0000000000000003e-06, 1, 27.927927927927925)
(5, 16, 0.0001, 2e-05, 0, 27.927927927927925)
(5, 16, 0.0001, 2e-05, 1, 27.927927927927925)
(5, 16, 0.001, 0.0002, 0, 35.135135161984074)
(5, 16, 0.001, 0.0002, 1, 36.03603641192119)
(5, 16, 0.01, 0.002, 0, 27.927927927927925)
(5, 16, 0.01, 0.002, 1, 27.927927927927925)
(5, 16, 0.1, 0.02, 0, 27.927927927927925)
(5, 16, 0.1, 0.02, 1, 27.927927927927925)
(5, 16, 0.5, 0.1, 0, 21.62162162162162)
(5, 16, 0.5, 0.1, 1, 27.927927927927925)
(5, 16, 1.0, 0.2, 0, 24.324324324324326)
(5, 16, 1.0, 0.2, 1, 21.62162162162162)
(5, 16, 5.0, 1.0, 0, 24.324324324324326)
(5, 16, 5.0, 1.0, 1, 27.927927927927925)
(5, 16, 10.0, 2.0, 0, 26.126126126126124)
(5, 16, 10.0, 2.0, 1, 21.62162162162162)
(5, 16, 100.0, 20.0, 0, 26.126126126126124)
(5, 16, 100.0, 20.0, 1, 26.126126126126124)
(5, 32, 1e-06, 2e-07, 0, 22.522522549371462)
(5, 32, 1e-06, 2e-07, 1, 28.82882882882883)
(5, 32, 1e-05, 2.0000000000000003e-06, 0, 27.927927927927925)
(5, 32, 1e-05, 2.0000000000000003e-06, 1, 27.927927927927925)
(5, 32, 0.0001, 2e-05, 0, 27.927927927927925)
(5, 32, 0.0001, 2e-05, 1, 27.927927927927925)
(5, 32, 0.001, 0.0002, 0, 27.927927927927925)
(5, 32, 0.001, 0.0002, 1, 27.927927927927925)
(5, 32, 0.01, 0.002, 0, 27.927927927927925)
(5, 32, 0.01, 0.002, 1, 27.927927927927925)
(5, 32, 0.1, 0.02, 0, 27.927927927927925)
(5, 32, 0.1, 0.02, 1, 21.62162162162162)
(5, 32, 0.5, 0.1, 0, 27.927927927927925)
(5, 32, 0.5, 0.1, 1, 27.927927927927925)
(5, 32, 1.0, 0.2, 0, 27.927927927927925)
(5, 32, 1.0, 0.2, 1, 27.927927927927925)
(5, 32, 5.0, 1.0, 0, 26.126126126126124)
(5, 32, 5.0, 1.0, 1, 24.324324324324326)
(5, 32, 10.0, 2.0, 0, 21.62162162162162)
(5, 32, 10.0, 2.0, 1, 27.927927927927925)
(5, 32, 100.0, 20.0, 0, 27.927927927927925)
(5, 32, 100.0, 20.0, 1, 26.126126126126124)
(5, 64, 1e-06, 2e-07, 0, 37.83783821372298)
(5, 64, 1e-06, 2e-07, 1, 24.324324324324326)
(5, 64, 1e-05, 2.0000000000000003e-06, 0, 27.927927927927925)
(5, 64, 1e-05, 2.0000000000000003e-06, 1, 28.82882882882883)
(5, 64, 0.0001, 2e-05, 0, 27.927927927927925)
(5, 64, 0.0001, 2e-05, 1, 27.927927927927925)
(5, 64, 0.001, 0.0002, 0, 27.927927927927925)
(5, 64, 0.001, 0.0002, 1, 27.927927927927925)
(5, 64, 0.01, 0.002, 0, 40.540540594238415)
(5, 64, 0.01, 0.002, 1, 27.927927927927925)
(5, 64, 0.1, 0.02, 0, 27.927927927927925)
(5, 64, 0.1, 0.02, 1, 26.126126126126124)
(5, 64, 0.5, 0.1, 0, 26.126126126126124)
(5, 64, 0.5, 0.1, 1, 27.927927927927925)
(5, 64, 1.0, 0.2, 0, 27.927927927927925)
(5, 64, 1.0, 0.2, 1, 26.126126126126124)
(5, 64, 5.0, 1.0, 0, 27.927927927927925)
(5, 64, 5.0, 1.0, 1, 26.126126126126124)
(5, 64, 10.0, 2.0, 0, 21.62162162162162)
(5, 64, 10.0, 2.0, 1, 27.927927927927925)
(5, 64, 100.0, 20.0, 0, 27.927927927927925)
(5, 64, 100.0, 20.0, 1, 26.126126126126124)
(5, 128, 1e-06, 2e-07, 0, 22.52252252252252)
(5, 128, 1e-06, 2e-07, 1, 24.324324431720083)
(5, 128, 1e-05, 2.0000000000000003e-06, 0, 27.927927927927925)
(5, 128, 1e-05, 2.0000000000000003e-06, 1, 18.018018111989303)
(5, 128, 0.0001, 2e-05, 0, 27.927927927927925)
(5, 128, 0.0001, 2e-05, 1, 27.927927927927925)
(5, 128, 0.001, 0.0002, 0, 27.927927927927925)
(5, 128, 0.001, 0.0002, 1, 27.927927927927925)
(5, 128, 0.01, 0.002, 0, 27.927927927927925)
(5, 128, 0.01, 0.002, 1, 25.225225225225223)
(5, 128, 0.1, 0.02, 0, 27.927927927927925)
(5, 128, 0.1, 0.02, 1, 27.927927927927925)
(5, 128, 0.5, 0.1, 0, 27.927927927927925)
(5, 128, 0.5, 0.1, 1, 27.927927927927925)
(5, 128, 1.0, 0.2, 0, 27.927927927927925)
(5, 128, 1.0, 0.2, 1, 27.927927927927925)
(5, 128, 5.0, 1.0, 0, 26.126126126126124)
(5, 128, 5.0, 1.0, 1, 26.126126126126124)
(5, 128, 10.0, 2.0, 0, 27.927927927927925)
(5, 128, 10.0, 2.0, 1, 27.927927927927925)
(5, 128, 100.0, 20.0, 0, 27.927927927927925)
(5, 128, 100.0, 20.0, 1, 26.126126126126124)
(50, 8, 1e-06, 2e-08, 0, 27.927927927927925)
(50, 8, 1e-06, 2e-08, 1, 27.927927927927925)
(50, 8, 1e-05, 2.0000000000000002e-07, 0, 27.927927927927925)
(50, 8, 1e-05, 2.0000000000000002e-07, 1, 27.927927927927925)
(50, 8, 0.0001, 2e-06, 0, 29.729729823701017)
(50, 8, 0.0001, 2e-06, 1, 33.333333427304616)
(50, 8, 0.001, 2e-05, 0, 33.33333336018227)
(50, 8, 0.001, 2e-05, 1, 31.531531558380472)
(50, 8, 0.01, 0.0002, 0, 27.927927927927925)
(50, 8, 0.01, 0.0002, 1, 27.927927927927925)
(50, 8, 0.1, 0.002, 0, 27.927927927927925)
(50, 8, 0.1, 0.002, 1, 27.927927927927925)
(50, 8, 0.5, 0.01, 0, 26.126126126126124)
(50, 8, 0.5, 0.01, 1, 27.927927927927925)
(50, 8, 1.0, 0.02, 0, 21.62162162162162)
(50, 8, 1.0, 0.02, 1, 27.927927927927925)
(50, 8, 5.0, 0.1, 0, 21.62162162162162)
(50, 8, 5.0, 0.1, 1, 26.126126126126124)
(50, 8, 10.0, 0.2, 0, 27.927927927927925)
(50, 8, 10.0, 0.2, 1, 21.62162162162162)
(50, 8, 100.0, 2.0, 0, 27.927927927927925)
(50, 8, 100.0, 2.0, 1, 27.927927927927925)
(50, 16, 1e-06, 2e-08, 0, 14.414414414414415)
(50, 16, 1e-06, 2e-08, 1, 26.126126126126124)
(50, 16, 1e-05, 2.0000000000000002e-07, 0, 27.927927927927925)
(50, 16, 1e-05, 2.0000000000000002e-07, 1, 27.927927927927925)
(50, 16, 0.0001, 2e-06, 0, 37.83783797208253)
(50, 16, 0.0001, 2e-06, 1, 33.33333346757803)
(50, 16, 0.001, 2e-05, 0, 35.13513521568195)
(50, 16, 0.001, 2e-05, 1, 35.13513526937983)
(50, 16, 0.01, 0.0002, 0, 27.927927927927925)
(50, 16, 0.01, 0.0002, 1, 27.927927927927925)
